id,name,city,state,google_place_id,review_count,review_mine_status,touchless_mentions
d27b8134-7d9e-4656-8c35-f346461618cc,"Simoniz Touchless Wash",,NY,ChIJp7rhpVhI04kR-ePBCcq5f-c,1,never,0
f4f6c2ce-0218-43e4-a3d7-4cff10a79d55,"Soaps N Suds Car Wash",Hampton,VA,ChIJEcnWqXGFuokRUIUugq-Z5Cg,1,never,0
edc31f57-8f43-4f98-bca4-602b3385c858,"Crown Valley Auto Spa",Laguna Niguel,CA,ChIJaRavLvDu3IARA7OptBBiWIc,0,never,0
dc7a8118-bc08-4320-afed-e3ef7761c81a,"Sweet Pea's Wash Works",White Oak,PA,ChIJiaKAMavoNIgROjyCKNW9fJE,297,never,1
620f59f6-1119-4a4c-b13c-b703047d0864,"El Car Wash - W Broward Blvd",Fort Lauderdale,FL,ChIJe4i69JsB2YgRqDrWDQGxvoQ,2179,touchless_found,0
7c780553-fc3f-453d-84db-6637652e1d82,"Rocket Express Car Wash",Midvale,UT,ChIJ2VQ3hK6JUocRXQsKu0KlL0M,1913,touchless_found,0
4ed34a70-bac6-4e8a-b8c2-04304a81acb2,"Valet Auto Wash Lawrenceville",Lawrenceville,NJ,ChIJOdu5shPiw4kRJHwa4yMuXuc,1556,touchless_found,0
cd18d215-4b00-4700-9485-21e327b83cb6,"Westborn Car Wash",Dearborn Heights,MI,ChIJU2VGfPlJO4gR7zAOfzcLch0,1422,touchless_found,0
0413bddc-6c1b-45e1-8e5e-01fa3102cfe6,"Splash Car Wash Express",Rochester,NY,ChIJzRllrnmx1okRDOIhc2SYJMM,1352,touchless_found,0
6029d7aa-0496-4f4d-8b2d-41ad8ef34750,"Prestige Car Wash",Quincy,MA,ChIJYZbDG69844kRfsXPuYd9ULE,1258,scanned_clean,0
c8e8c479-24d8-4091-ba4b-35eb7aeef104,"Russell Speeder's Car Wash",Manchester,CT,ChIJrXxiyPNX5okRZrrIpzc8S30,1247,touchless_found,0
dbb512c0-ae71-4b73-8ea1-fabc4a80eff8,"Sparkling Image Express Car Wash",Hollywood,FL,ChIJD36tXWup2YgR6oOc-Q3xpYQ,1213,touchless_found,0
0ca12509-dfcb-433f-b96d-1b8fc739a8df,"Sparkle Express Car Wash",North Augusta,SC,ChIJe94d71fL-YgR_HGRMRTli4c,1073,touchless_found,0
b51b1884-c688-42ef-a9cf-2ef38f0e196a,"WOW Carwash - S. Maryland",Las Vegas,NV,ChIJDR2niOzPyIARz4vgm6FEOOY,1049,touchless_found,0
c78db205-3879-4178-9f86-b2997e1e1cbd,"Sheetz",Greenville,NC,ChIJbdnrBT3drokRfxhEM2FDDnM,1049,scanned_clean,0
72d0800e-ab1f-4e53-b526-d4194068f32e,"Westborn Car Wash",Dearborn,MI,ChIJFTXCzEdKO4gRAiM7lXT94iA,1042,touchless_found,0
cd17b7c6-4f46-422c-935e-b7a6946a0c46,"Sheetz",Raleigh,NC,ChIJVYEr_3D0rIkR3qBG-1xVoYU,1016,scanned_clean,0
840e4afc-c33a-4c44-b980-ae5fe6a9eea1,"ScrubHub Car Wash",Smyrna,GA,ChIJhWoxZo0R9YgR0_q-qBXI3Bs,992,touchless_found,0
5bce6745-f2e4-433e-bc7e-d75acaa1bb2f,"Fast5Xpress Car Wash Pico Rivera",Pico Rivera,CA,ChIJOQGwQZXRwoAR0ZWGiRkpBPo,984,touchless_found,0
1aa60c1b-5b05-4e4f-bc31-eac3ef268da4,"Oil Changers & Car Wash",Visalia,CA,ChIJlQT98ZwvlYARPGd_pqPAkL4,958,touchless_found,0
0d14c6ce-c82d-4e2f-8535-f7fe60258f95,"Palms Car Wash",Austin,TX,ChIJdaq3y6HORIYRoIg9n1taJHI,951,touchless_found,0
da18cdb2-77ab-4c21-a20c-d42a919ddb10,"Sheetz",Kernersville,NC,ChIJg8O6wzSpU4gRthxpz57lpwU,876,scanned_clean,0
