name,city,state,chain,trophies,hero,amenities,hours,desc,address,phone,directions,snippets,tss,paintSafe,fails
Brassfield Laserwash,Greensboro,NC,,"Greensboro, NC #3",ok,true,true,true,true,true,true,10,80,false,"READY"
Time to Shine Car Wash - Huntingdon,Huntingdon,PA,,"Altoona, PA #1",ok,true,true,true,true,true,true,4,84,false,"READY"
Bud's Car Wash,Bel Air,MD,,"Baltimore, MD #1",ok,true,true,true,true,true,true,28,76,true,"READY"
Super Suds Car Wash & Auto Detailing,Bonita Springs,FL,,"Fort Myers, FL #2",ok,true,true,true,true,true,true,10,80,false,"READY"
Canyon View Express,Grand Junction,CO,,"Grand Junction, CO #3",ok,true,true,true,true,true,true,7,80,false,"READY"
Elkton Car Wash,Elkton,MD,,"Coatesville, PA #3",ok,true,true,true,true,true,true,20,79,false,"READY"
Cooper's Carwash,Monroe,NC,,"Charlotte, NC #2",ok,true,true,true,true,true,true,11,86,false,"READY"
Car Lovers Rio,Charlottesville,VA,,"Charlottesville, VA #1",ok,true,true,true,true,true,true,10,89,true,"READY"
Touchless Carwash,Grants Pass,OR,,"Grants Pass, OR #1",ok,true,false,true,true,false,true,4,62,false,"hours"
Clean N' Shine Car Wash,McHenry,IL,,"Harvard, IL #1; Kenosha, WI #3",ok,true,true,true,true,true,true,17,62,false,"READY"
Buster's Car Wash,Malta,NY,,"Albany, NY #1; Saratoga Springs, NY #1",ok,true,true,true,true,true,true,13,82,true,"READY"
EZ Carwash @ Adrian Image Center,Adrian,MI,,"Adrian, MI #2",ok,true,true,true,true,true,true,5,71,false,"READY"
Province Car And Dog Wash,Aurora,CO,,"Denver, CO #3",ok,true,true,true,true,true,true,18,89,true,"READY"
Galleria Express Car Wash,Charlotte,NC,,"Charlotte, NC #3",ok,true,true,true,true,true,true,43,75,false,"READY"
Soapyshell Carwash - Perry Hall,Nottingham,MD,,"Baltimore, MD #2",ok,true,false,true,true,true,true,13,76,true,"hours"
Whale of a Wash,Albuquerque,NM,,"Albuquerque, NM #1",ok,true,true,true,true,true,true,34,90,true,"READY"
Barn Car Wash,Saugus,MA,,"Boston, MA #3",ok,true,true,true,true,true,true,55,73,true,"READY"
Lowell Express Car Wash & Oil Change,Lowell,MI,,"Grand Rapids, MI #2",ok,true,true,true,true,true,true,18,80,false,"READY"
Pristine Clean Car Wash,Candler,NC,,"Asheville, NC #3",ok,true,true,true,true,true,true,26,55,false,"TSS:55"
aFORDable Touch Free Carwash,Owego,NY,,"Binghamton, NY #3",ok,true,true,true,true,true,true,2,69,false,"snips(2)"
Spirit of America Car Wash,Naperville,IL,,"Elgin, IL #3",ok,true,true,true,true,false,true,37,85,true,"READY"
Self Service CarWash,Atlantic Beach,FL,,"Jacksonville, FL #3",ok,true,true,true,true,true,true,5,84,false,"READY"
SolarShine Express Car Wash,Charlotte,NC,,"Charlotte, NC #1",ok,true,true,true,true,true,true,8,80,true,"READY"
Apex Car Wash,Hamburg,NY,,"Buffalo, NY #2",ok,true,true,true,true,true,true,3,82,false,"READY"
Shiny Car Car Wash,Appleton,WI,,"Appleton-Oshkosh, WI #2",ok,true,true,true,true,true,true,22,65,false,"READY"
Spot Free Rapid Wash,Columbus,OH,,"Columbus, OH #2",ok,true,true,true,true,true,true,9,89,true,"READY"
Go Touch Less Car Wash,Jacksonville,FL,,"Jacksonville, FL #1",ok,true,true,true,true,true,true,61,82,true,"READY"
Big Wave Car Wash,Colorado Springs,CO,,"Colorado Springs, CO #2",ok,true,true,true,true,true,true,52,80,true,"READY"
The Local Car Wash,Asheville,NC,,"Asheville, NC #1",ok,true,true,true,true,true,true,11,90,true,"READY"
Greenhill Car Wash,Georgetown,DE,,"Georgetown, DE #2",ok,true,true,true,true,true,true,10,54,false,"TSS:54"
Auto Wash Car Wash,Canandaigua,NY,,"Finger Lakes, NY #1; Rochester, NY #1",ok,true,true,true,true,true,true,21,87,true,"READY"
Magic Car and Pet Wash -Kingdom City,Kingdom City,MO,,"Columbia, MO #3",ok,true,true,true,true,true,true,4,68,false,"READY"
Autowash @ Thompson Valley Car Wash,Loveland,CO,Autowash,"Fort Collins, CO #1; Greeley, CO #1",MISSING,true,true,true,true,true,true,27,82,true,"hero"
Executive Laser Wash,West Des Moines,IA,Executive Laser Wash,"Des Moines, IA #1",ok,true,true,true,true,false,true,25,87,true,"READY"
Al's Super Wash | TOUCHLESS Car Wash | Dort Hwy,Grand Blanc,MI,Super Wash,"Fenton, MI #1",ok,true,true,true,true,true,true,12,88,true,"READY"
Royal Express Car Wash,Evansville,IN,,"Evansville, IN #3",ok,true,true,true,true,true,true,15,80,false,"READY"
Kwik Trip Car Wash,Eau Claire,WI,Kwik Trip,"Eau Claire, WI #1",MISSING,true,true,true,true,true,true,3,85,false,"hero"
Seaway Carwash and Detail Center,South Burlington,VT,,"Burlington, VT #3",ok,true,true,true,true,true,true,14,64,true,"READY"
Canyon View Car Wash -Grand Junction,Grand Junction,CO,,"Grand Junction, CO #2",ok,true,true,true,true,true,true,13,79,false,"READY"
Performance Plus Quick Oil Change & Car Wash,Coloma,MI,,"Decatur, MI #1",ok,true,true,true,true,true,true,6,59,false,"TSS:59"
Rain Tunnel Wash,Chambersburg,PA,,"Chambersburg, PA #2",ok,true,true,true,true,true,true,12,66,false,"READY"
Gorilla Touchless Car Wash Pflugerville,Pflugerville,TX,Gorilla Car Wash,"Austin, TX #2",ok,true,true,true,true,true,true,63,92,true,"READY"
Splash 24,Canandaigua,NY,Splash Car Wash,"Finger Lakes, NY #2",ok,true,true,true,true,true,true,23,68,true,"READY"
