[08:53:47] ============================================================
[08:53:47] Mine-and-verify pass started
[08:53:47] ============================================================
[08:58:49]   ✓ TOUCHLESS: Shell Touchfree Car Wash — La Jolla, CA (2 snippets)
[08:58:49]   ✗ REJECTED:  CK's CarWash — Johnson City, NY
[08:58:49]   ✗ REJECTED:  Manosh Car Wash — Morristown, VT
[08:58:49]   ✓ TOUCHLESS: Primrose Touch Free Car Wash — Westborough, MA (14 snippets)
[08:58:49]   ✓ TOUCHLESS: Firehouse Self-Service Touchless Car Wash — Browns Mills, NJ (1 snippets)
[08:58:49]   ✓ TOUCHLESS: Wash One Car Wash — Indian Trail, NC (3 snippets)
[08:58:49]   ✓ TOUCHLESS: Lazer Car Wash — Knoxville, IA (2 snippets)
[08:58:49]   ✓ TOUCHLESS: Precision Wash — Rome, NY (2 snippets)
[08:58:49] Batch 3: scanned=50 touchless=23 errors=0 (301s elapsed)
[09:00:38]   ✓ TOUCHLESS: Gentle Wave Car Wash — South Bend, IN (3 snippets)
[09:00:38]   ✓ TOUCHLESS: K & S Car Wash — Weedsport, NY (2 snippets)
[09:00:38]   ✗ REJECTED:  Mobil — Westmont, IL
[09:00:38]   ✓ TOUCHLESS: Niagara Carwash — Edinboro, PA (3 snippets)
[09:00:38]   ✗ REJECTED:  Caress Car Wash — Toledo, OH
[09:00:38]   ✓ TOUCHLESS: Trenton Super Wash — Trenton, OH (1 snippets)
[09:00:38]   ✓ TOUCHLESS: Touchless Car Wash — South Pittsburg, TN (3 snippets)
[09:00:38]   ✓ TOUCHLESS: Touchless Laser Wash — Lakewood, NY (3 snippets)
[09:00:38]   ✗ REJECTED:  Loop Car Wash And Gas Station — San Jose, CA
[09:00:38]   ✗ REJECTED:  Epic Cascades Carwash — Massillon, OH
[09:00:38]   ✓ TOUCHLESS: Touchless Car Wash — Gladstone, OR (11 snippets)
[09:00:38]   ✗ REJECTED:  Touchless Automatic Car Wash — Guymon, OK
[09:00:38]   ✓ TOUCHLESS: Pirate Laser Wash — Poteau, OK (1 snippets)
[09:00:38]   ✓ TOUCHLESS: The Works Touchless Car Wash — Brewerton, NY (2 snippets)
[09:00:38]   ✓ TOUCHLESS: Moonan's Touchless Car Wash — Bradford, PA (3 snippets)
[09:00:38]   ✓ TOUCHLESS: Laser Wash — Carlisle, IA (1 snippets)
[09:00:38]   ✗ REJECTED:  Chevron — Valencia, CA
[09:00:38]   ✓ TOUCHLESS: Car Wash Wizards | 149 Old Charlotte Highway — Asheville, NC (3 snippets)
[09:00:38]   ✓ TOUCHLESS: Frankfort Touchless Car Wash Open 24/7 — Frankfort, IL (8 snippets)
[09:00:38]   ✓ TOUCHLESS: Montoursville Laser Wash — Montoursville, PA (4 snippets)
[09:00:38]   ✗ REJECTED:  Cielo Car Wash — Monticello, MN
[09:00:38]   ✓ TOUCHLESS: Mission and Greene Scrubbing Machine Touchless Car Wash — Spokane, WA (1 snippets)
[09:00:38]   ✓ TOUCHLESS: Mr. Touchless Car Wash — Waterbury, CT (4 snippets)
[09:00:38]   ✓ TOUCHLESS: Carriage House Express Wash — Wilder, KY (1 snippets)
[09:00:38]   ✓ TOUCHLESS: Clive Laser Wash — Clive, IA (2 snippets)
[09:00:38]   ✓ TOUCHLESS: Touchless Car Wash — Callahan, FL (3 snippets)
[09:00:38]   ✓ TOUCHLESS: Park Avenue Laser Wash — Corning, NY (2 snippets)
[09:00:38] Batch 4: scanned=50 touchless=20 errors=0 (411s elapsed)
[09:02:32]   ✓ TOUCHLESS: Hawthorne Laser Carwash — Hawthorne, CA (5 snippets)
[09:02:32]   ✓ TOUCHLESS: Three Springs Laser — Weirton, WV (1 snippets)
[09:02:32]   ✓ TOUCHLESS: 421 Waterworks Carwash — Greensboro, NC (1 snippets)
[09:02:32]   ✗ REJECTED:  Carriage House Express Wash — Loveland, OH
[09:02:32]   ✓ TOUCHLESS: Touch Free Automatic Car Wash — Marietta, OH (3 snippets)
[09:02:32]   ✓ TOUCHLESS: Niagara Carwash — Girard, PA (2 snippets)
[09:02:32]   ✓ TOUCHLESS: Wooly Wash — Carterville, IL (1 snippets)
[09:02:32]   ✓ TOUCHLESS: Mobil — Walnut, CA (1 snippets)
