rejectReason,name,reviews,address,types,place_id
known-tunnel-chain,Zips Car Wash,1045,"3912 S Sheridan Rd, Tulsa, OK 74145",Car wash,ChIJw9tl7aWStocR3WhxJZR_flU
known-tunnel-chain,Take 5 Car Wash,1030,"3220 Veterans Blvd, Metairie, LA 70002",Car wash,ChIJ9X8sDMuxIIYR_lQR0lUNbsU
known-tunnel-chain,Clean Express Auto Wash,1023,"3606 Carnegie Ave, Cleveland, OH 44115",Car wash,ChIJ5yng41j6MIgR-riNulc8HF0
known-tunnel-chain,Mister Car Wash,990,"1482 George Dieter Dr, El Paso, TX 79936",Car wash,ChIJAXytFn9D54YRbWvBYUx1Ego
known-tunnel-chain,Moo Moo Express Car Wash,963,"1944 Hilliard Rome Rd, Hilliard, OH 43026",Car wash,ChIJyQYtsyWROIgRJ5vDqbwSb88
known-tunnel-chain,Super Star Car Wash - Woodmen Rd & Falcon Mkt Pl,949,"7525 Falcon Mkt Pl, Falcon, CO 80831",Car wash,ChIJYxmsXU83E4cRaViBcFqufNo
known-tunnel-chain,Mister Car Wash,945,"11184 Vista del Sol Dr, El Paso, TX 79935",Car wash,ChIJkXPcVZhE54YRLGYfGFHKz-E
known-tunnel-chain,Quick Quack Car Wash,937,"40 E 3300 S, South Salt Lake, UT 84115",Car wash|Self service car wash,ChIJw4dsAySLUocR3noS6sZzkZ4
known-tunnel-chain,Mike's Carwash,929,"6313 Lima Rd, Fort Wayne, IN 46818",Car wash,ChIJXRORdbPjFYgRlibVCznGNhM
known-tunnel-chain,Champion Xpress Carwash,928,"4516 Wyoming Blvd NE, Albuquerque, NM 87111",Car wash,ChIJvW0MfDB1IocRvS0Y_dyqB5o
known-tunnel-chain,Zips Car Wash,926,"5740 Albemarle Rd, Charlotte, NC 28212",Car wash,ChIJZYsehNwhVIgRBCR_U8n9d7I
known-tunnel-chain,Zips Car Wash,900,"6655 Clinton Hwy, Knoxville, TN 37912",Car wash,ChIJn3lAqPQ7XIgR1H9FuatZbaE
known-tunnel-chain,Take 5 Car Wash Utah,897,"6126 S Vine Way, Murray, UT 84121",Car wash,ChIJyYSLWGhiUocRWkVLO7MidC8
known-tunnel-chain,Mister Car Wash,895,"8139 Alameda Ave, El Paso, TX 79907",Car wash,ChIJ0efGerZc54YRcXr6pbe5apM
non-carwash-business,Harbor Freight,889,"1309 T P White Dr suite f, Jacksonville, AR 72076",Hardware store|Tool store,ChIJsVMPy_vq0ocR7hRDqIpRQKw
known-tunnel-chain,Mister Car Wash,878,"5375 Olive Dr, Bakersfield, CA 93308",Car wash,ChIJySrTuZFC6oARfe3oOiVG7Bo
known-tunnel-chain,Russell Speeder's Car Wash of Lincoln,878,"5757 S 86th Dr, Lincoln, NE 68526",Car wash,ChIJyastua-XlocRsMlOO2q34PU
known-tunnel-chain,Zips Car Wash,876,"7365 Kingston Pike, Knoxville, TN 37919",Car wash,ChIJW-1vD7okXIgRvR-OrEh-n1c
known-tunnel-chain,Mister Car Wash,872,"6420 N Division St, Spokane, WA 99208",Car wash,ChIJBzNFlFIZnlQROZSA7QGPLZA
known-tunnel-chain,Quick Quack Car Wash,865,"1450 Harrison Rd, Colorado Springs, CO 80905",Car wash|Self service car wash,ChIJd94PTONFE4cRKE_cavPNTto
known-tunnel-chain,Mike's Carwash,853,"6289 Glenway Ave, Cincinnati, OH 45211",Car wash,ChIJT8ou6mfKQYgRKUg1Lt0QGuc
